ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
052,Nevada,Normal,Eagle Union,BB,75,Heavy,20,6307,359,184,0,22,0,12,125,0,0,0,60
053,Oklahoma,Normal,Eagle Union,BB,38,Heavy,20,6293,359,184,0,22,0,12,125,0,0,0,60
054,Pennsylvania,Rare,Eagle Union,BB,72,Heavy,21,6508,370,194,0,23,0,13,130,0,0,0,62
055,Arizona,Elite,Eagle Union,BB,17,Heavy,21,6457,379,200,0,23,0,14,131,0,0,0,62
058,Tennessee,Rare,Eagle Union,BB,51,Heavy,21,6682,372,193,0,24,0,13,131,0,0,0,61
059,California,Rare,Eagle Union,BB,36,Heavy,21,6682,372,193,0,24,0,13,131,0,0,0,61
060,Colorado,Elite,Eagle Union,BB,67,Heavy,21,6747,389,197,0,25,0,14,141,0,0,0,61
061,Maryland,Elite,Eagle Union,BB,70,Heavy,21,6800,385,197,0,25,0,14,138,0,0,0,57
062,West Virginia,Elite,Eagle Union,BB,61,Heavy,21,6747,389,197,0,25,0,14,141,0,0,0,62
063,North Carolina,Super Rare,Eagle Union,BB,81,Heavy,28,7109,401,368,0,28,0,15,150,0,0,0,62
064,Washington,Super Rare,Eagle Union,BB,89,Heavy,28,7316,401,368,0,28,0,15,150,0,0,0,62
065,South Dakota,Super Rare,Eagle Union,BB,76,Heavy,27,7271,394,368,0,28,0,15,150,0,0,0,64
066,Indiana,Super Rare,Eagle Union,BB,62,Heavy,27,7271,402,363,0,28,0,15,159,0,0,0,62
068,New Jersey,Ultra Rare,Eagle Union,BB,72,Heavy,33,8619,426,394,0,34,0,17,161,0,0,0,66
127,Renown,Elite,Royal Navy,BC,85,Medium,32,5612,357,252,0,33,0,13,147,0,0,0,64
128,Repulse,Rare,Royal Navy,BC,28,Medium,31,5454,336,245,0,31,0,12,144,0,0,0,61
129,Hood,Super Rare,Royal Navy,BC,38,Medium,31,7677,326,296,0,33,0,14,150,0,0,0,61
130,Queen Elizabeth,Elite,Royal Navy,BB,25,Heavy,24,6798,384,194,0,29,0,14,137,0,0,0,61
131,Warspite,Super Rare,Royal Navy,BB,90,Heavy,24,7045,406,201,0,29,0,15,150,0,0,0,67
132,Nelson,Elite,Royal Navy,BB,66,Heavy,23,6928,387,200,0,29,0,14,141,0,0,0,62
133,Rodney,Elite,Royal Navy,BB,81,Heavy,23,6906,387,200,0,27,0,14,141,0,0,0,62
134,King George V,Super Rare,Royal Navy,BB,77,Heavy,28,7216,402,241,0,30,0,15,147,0,0,0,62
135,Prince of Wales,Super Rare,Royal Navy,BB,19,Heavy,28,7213,402,210,0,30,0,15,147,0,0,0,61
136,Duke of York,Super Rare,Royal Navy,BB,73,Heavy,28,7213,401,206,0,30,0,15,144,0,0,0,62
137,Vanguard,Ultra Rare,Royal Navy,BB,52,Heavy,30,8571,397,390,0,33,0,17,167,0,0,0,69
138,Lion,Ultra Rare,Royal Navy,BB,50,Heavy,28,7666,435,220,0,48,0,17,169,0,0,0,61
149,Erebus,Elite,Royal Navy,BM,91,Light,12,3287,267,156,0,52,0,10,137,0,0,0,72
150,Terror,Elite,Royal Navy,BM,19,Light,12,3287,267,156,0,52,0,10,137,0,0,0,72
204,Kongou,Elite,Sakura Empire,BC,43,Medium,30,5971,349,249,0,32,0,14,150,0,0,0,62
205,Hiei,Elite,Sakura Empire,BC,37,Medium,30,5971,348,249,0,32,0,14,152,0,0,0,61
206,Haruna,Elite,Sakura Empire,BC,47,Medium,30,5971,342,249,0,32,0,14,150,0,0,0,61
207,Kirishima,Elite,Sakura Empire,BC,37,Medium,30,5971,348,249,0,32,0,14,152,0,0,0,61
208,Fusou,Rare,Sakura Empire,BB,13,Heavy,23,6255,370,203,0,27,0,13,131,0,0,0,58
209,Yamashiro,Rare,Sakura Empire,BB,14,Heavy,23,6609,370,203,0,27,0,13,131,0,0,0,58
