ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
029,Omaha,Normal,Eagle Union,CL,67,Light,35,554,26,53,38,30,0,2,67,19,0,0,52
030,Raleigh,Normal,Eagle Union,CL,82,Light,35,554,26,53,38,30,0,2,67,19,0,0,52
031,Brooklyn,Rare,Eagle Union,CL,55,Light,32,595,30,58,0,28,0,2,66,24,0,0,54
032,Phoenix,Rare,Eagle Union,CL,88,Light,32,595,30,58,0,28,0,2,66,23,0,0,54
033,Helena,Elite,Eagle Union,CL,33,Light,32,620,32,60,0,28,0,3,68,26,0,0,60
034,Atlanta,Rare,Eagle Union,CL,12,Light,32,605,24,81,29,28,0,2,66,46,0,0,58
035,Juneau,Rare,Eagle Union,CL,18,Light,32,605,24,81,29,28,0,2,66,46,0,0,58
036,San Diego,Super Rare,Eagle Union,CL,85,Light,32,646,25,87,31,28,0,3,70,49,0,0,58
037,Cleveland,Elite,Eagle Union,CL,71,Light,32,751,31,61,0,30,0,3,69,24,0,0,56
038,Columbia,Elite,Eagle Union,CL,70,Light,32,751,31,61,0,30,0,3,69,24,0,0,56
104,Leander,Normal,Royal Navy,CL,44,Light,32,558,27,61,50,30,0,2,63,30,0,0,50
105,Achilles,Rare,Royal Navy,CL,54,Light,32,509,30,55,61,28,0,2,64,31,0,0,51
106,Ajax,Rare,Royal Navy,CL,74,Light,32,509,30,55,61,28,0,2,64,31,0,0,51
107,Dido,Super Rare,Royal Navy,CL,85,Light,32,647,29,74,33,28,0,3,71,41,0,0,55
110,Southampton,Rare,Royal Navy,CL,32,Light,32,637,28,58,51,29,0,2,63,25,0,0,54
111,Sheffield,Elite,Royal Navy,CL,78,Light,32,656,29,67,55,29,0,3,67,21,0,0,55
112,Manchester,Elite,Royal Navy,CL,41,Light,32,640,26,63,51,29,0,3,64,33,0,0,54
113,Gloucester,Elite,Royal Navy,CL,45,Light,32,666,29,60,52,29,0,3,65,34,0,0,54
114,Edinburgh,Elite,Royal Navy,CL,37,Light,32,789,29,59,52,29,0,3,65,24,0,0,55
