ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
070,Long Island,Rare,Eagle Union,CVL,68,Medium,16,4802,0,263,0,68,284,10,185,102,0,0,88
071,Bogue,Normal,Eagle Union,CVL,78,Medium,18,4048,0,257,0,69,282,9,181,150,0,0,88
072,Langley,Normal,Eagle Union,CVL,32,Medium,15,4566,0,251,0,83,207,9,125,97,0,0,83
073,Lexington,Elite,Eagle Union,CV,35,Medium,33,7072,0,310,0,58,402,12,112,0,0,0,95
074,Saratoga,Elite,Eagle Union,CV,66,Medium,33,7072,0,310,0,58,402,12,112,0,0,0,95
075,Ranger,Normal,Eagle Union,CVL,71,Medium,29,4892,0,253,0,76,244,9,132,109,0,0,92
076,Yorktown,Elite,Eagle Union,CV,39,Medium,32,5933,0,324,0,56,401,12,123,0,0,0,98
077,Enterprise,Super Rare,Eagle Union,CV,93,Medium,32,6339,0,337,0,64,435,13,134,0,0,0,110
078,Hornet,Elite,Eagle Union,CV,15,Medium,32,5960,0,313,0,56,406,12,123,0,0,0,98
079,Wasp,Rare,Eagle Union,CV,20,Medium,29,5010,0,278,0,53,334,11,119,0,0,0,90
140,Hermes,Normal,Royal Navy,CVL,41,Medium,25,4257,0,253,0,69,284,9,175,105,0,0,83
142,Unicorn,Elite,Royal Navy,CVL,78,Medium,24,5464,0,274,0,68,311,11,183,110,0,0,86
143,Eagle,Elite,Royal Navy,CV,40,Medium,24,6341,218,314,0,48,375,12,114,0,0,0,92
144,Ark Royal,Elite,Royal Navy,CV,87,Medium,31,6251,0,314,0,55,405,12,119,0,0,0,104
145,Illustrious,Super Rare,Royal Navy,CV,44,Heavy,30,6713,0,303,0,55,405,13,119,0,0,0,93
146,Victorious,Super Rare,Royal Navy,CV,82,Heavy,30,6409,0,295,0,55,415,13,105,0,0,0,92
147,Formidable,Super Rare,Royal Navy,CV,75,Heavy,30,6634,0,295,0,53,419,13,119,0,0,0,92
148,Glorious,Elite,Royal Navy,CV,32,Medium,30,6462,0,299,0,53,365,12,110,0,0,0,90
218,Hiyou,Rare,Sakura Empire,CVL,43,Medium,25,5328,0,252,0,70,283,11,160,82,0,0,80
219,Junyou,Rare,Sakura Empire,CVL,80,Medium,25,5328,0,252,0,70,283,11,160,80,0,0,80
220,Houshou,Elite,Sakura Empire,CVL,79,Medium,25,3708,0,263,0,69,290,11,178,94,0,0,83
221,Zuihou,Super Rare,Sakura Empire,CVL,55,Medium,28,4724,0,270,0,72,314,12,197,92,0,0,88
222,Shouhou,Rare,Sakura Empire,CVL,24,Medium,28,4385,0,253,0,72,283,10,180,85,0,0,80
223,Ryuujou,Elite,Sakura Empire,CVL,42,Medium,28,4381,0,257,0,85,352,11,181,73,0,0,92
224,Akagi,Super Rare,Sakura Empire,CV,42,Medium,31,6741,0,330,0,56,415,13,132,0,0,0,92
225,Kaga,Super Rare,Sakura Empire,CV,42,Medium,28,6928,0,330,0,50,413,13,132,0,0,0,92
226,Souryuu,Elite,Sakura Empire,CV,36,Medium,34,5370,0,319,0,58,395,12,123,0,0,0,87
227,Hiryuu,Elite,Sakura Empire,CV,36,Medium,34,5598,0,317,0,58,396,12,123,0,0,0,87
228,Shoukaku,Super Rare,Sakura Empire,CV,49,Medium,34,6885,0,357,0,58,417,13,121,0,0,0,90
229,Zuikaku,Super Rare,Sakura Empire,CV,73,Medium,34,7360,0,330,0,59,420,13,121,0,0,0,90
230,Taihou,Super Rare,Sakura Empire,CV,36,Heavy,33,7481,0,326,0,56,405,13,121,0,0,0,84
231,Shinano,Ultra Rare,Sakura Empire,CV,32,Heavy,28,8818,0,324,0,50,443,15,128,0,0,0,80
252,Graf Zeppelin,Super Rare,Iron Blood,CV,45,Medium,33,7659,0,326,0,52,428,13,129,0,0,0,90
356,Centaur,Super Rare,Royal Navy,CVL,73,Medium,28,6784,0,274,0,72,426,13,162,128,0,0,98
357,Essex,Super Rare,Eagle Union,CV,90,Medium,33,6804,0,338,0,56,439,13,132,0,0,0,90
376,Chaser,Elite,Royal Navy,CVL,82,Medium,18,4819,0,263,0,64,303,11,188,146,0,0,89
377,Independence,Elite,Eagle Union,CVL,78,Medium,31,4910,0,274,0,85,314,11,185,110,0,0,91
378,Shangri-La,Super Rare,Eagle Union,CV,83,Medium,33,6804,0,338,0,56,436,13,132,0,0,0,93
380,Bunker Hill,Super Rare,Eagle Union,CV,35,Medium,33,6767,0,316,0,56,430,13,132,0,0,0,85
384,Akagi-chan,Elite,Sakura Empire,CV,42,Medium,31,6395,0,318,0,56,399,12,126,0,0,0,92
385,Zeppy,Elite,Iron Blood,CV,45,Medium,33,7142,177,314,0,57,381,12,112,0,0,0,87
403,Bataan,Elite,Eagle Union,CVL,65,Medium,31,5127,0,282,0,85,352,11,202,73,0,0,92
419,Akagi µ,Super Rare,Sakura Empire,CV,42,Medium,31,6692,0,330,0,56,413,13,132,0,0,0,92
426,Ryuuhou,Super Rare,Sakura Empire,CVL,70,Medium,26,5105,0,282,0,71,321,12,191,114,0,0,86
442,Intrepid,Super Rare,Eagle Union,CV,68,Medium,33,6792,0,338,0,56,436,13,132,0,0,0,87
447,Casablanca,Rare,Eagle Union,CVL,65,Medium,19,4822,0,264,0,64,290,10,196,119,0,0,75
458,Béarn,Elite,Iris Libre,CV,42,Medium,21,6407,177,314,259,37,381,12,112,0,0,0,87
459,Little Illustrious,Elite,Royal Navy,CV,44,Heavy,30,6084,0,272,0,55,385,12,112,0,0,0,87
462,Perseus,Super Rare,Royal Navy,CVL,82,Medium,25,5673,0,270,0,73,331,12,171,146,0,0,89
470,Chitose,Elite,Sakura Empire,CVL,57,Medium,29,4503,0,267,0,74,352,11,188,92,0,0,83
471,Chiyoda,Elite,Sakura Empire,CVL,57,Medium,29,4963,0,267,0,74,352,11,182,92,0,0,83
473,Princeton,Elite,Eagle Union,CVL,49,Medium,31,4904,0,261,0,88,344,11,183,100,0,0,91
474,Taihou µ,Super Rare,Sakura Empire,CV,36,Heavy,33,7361,0,316,0,56,405,13,121,0,0,0,78
480,Illustrious µ,Super Rare,Royal Navy,CV,44,Heavy,30,6664,0,300,0,55,412,13,119,0,0,0,93
482,Peter Strasser,Super Rare,Iron Blood,CV,45,Medium,33,7659,0,316,0,52,428,13,141,0,0,0,104
485,Weser,Elite,Iron Blood,CVL,30,Medium,32,4873,0,270,0,77,327,11,182,73,0,0,90
502,Aquila,Super Rare,Sardegna Empire,CV,40,Medium,30,6358,0,371,0,46,403,13,129,0,0,0,104
511,Ticonderoga,Super Rare,Eagle Union,CV,72,Medium,33,6779,0,338,0,56,438,13,132,0,0,0,90
516,Little Enterprise,Elite,Eagle Union,CV,93,Medium,32,6037,0,305,0,56,410,12,118,0,0,0,97
520,Katsuragi,Super Rare,Sakura Empire,CV,75,Medium,32,6223,0,316,0,56,424,13,121,0,0,0,96
526,Elbe,Elite,Iron Blood,CVL,30,Medium,21,5076,0,274,0,64,334,11,188,73,0,0,86
534,Chen Hai,Elite,Dragon Empery,CVL,45,Medium,10,3738,153,165,0,53,303,11,188,0,0,0,101
538,Volga,Super Rare,Northern Parliament,CV,50,Medium,30,6944,0,371,0,46,401,13,125,0,0,0,104
540,Impero,Super Rare,Sardegna Empire,CV,32,Medium,30,7185,0,338,0,46,434,13,123,0,0,0,94
553,Indomitable,Super Rare,Royal Navy,CV,42,Heavy,30,6517,0,316,0,55,434,13,121,0,0,0,97
555,Joffre,Super Rare,Vichya Dominion,CV,28,Medium,33,6458,0,314,0,52,419,13,129,0,0,0,99
570,Albion,Super Rare,Royal Navy,CVL,78,Medium,28,6784,0,276,0,72,430,13,166,130,0,0,101
572,Hornet II,Super Rare,Eagle Union,CV,76,Medium,33,6792,0,341,0,56,438,13,132,0,0,0,93
573,Langley II,Elite,Eagle Union,CVL,70,Medium,31,4904,0,278,0,86,346,11,194,100,0,0,91
574,Yorktown II,Ultra Rare,Eagle Union,CV,70,Medium,33,7662,0,371,0,56,458,15,137,0,0,0,97
578,Theseus,Super Rare,Royal Navy,CVL,71,Medium,25,5069,0,270,0,69,428,13,167,127,0,0,101
579,Hwah Jah,Elite,Dragon Empery,CVL,53,Medium,12,4965,0,148,0,53,335,11,177,0,0,0,89
