ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
001,Universal Bulin,Elite,Universal,DD,100,Light,35,210,21,21,21,105,21,3,105,31,0,0,105
002,Prototype Bulin MKII,Super Rare,Universal,DD,100,Light,35,210,21,21,21,105,21,3,105,31,0,0,105
003,Specialized Bulin Custom MKIII,Ultra Rare,Universal,DD,100,Light,35,210,21,21,21,105,21,3,105,31,0,0,105
004,Dewey,Rare,Eagle Union,DD,72,Light,44,1487,70,169,264,180,0,8,178,173,0,0,169
005,Cassin,Normal,Eagle Union,DD,66,Light,44,1566,72,153,268,180,0,7,180,170,0,0,178
006,Downes,Normal,Eagle Union,DD,63,Light,44,1566,72,153,268,180,0,7,180,170,0,0,178
007,Gridley,Rare,Eagle Union,DD,72,Light,46,1634,69,159,417,181,0,8,190,189,0,0,189
008,Craven,Normal,Eagle Union,DD,72,Light,46,1602,68,156,408,181,0,7,186,181,0,0,189
009,McCall,Normal,Eagle Union,DD,69,Light,43,1556,68,156,408,180,0,7,186,181,0,0,189
010,Maury,Elite,Eagle Union,DD,69,Light,43,1633,72,163,426,220,0,9,196,191,0,0,189
011,Fletcher,Rare,Eagle Union,DD,73,Light,43,1876,81,157,268,178,0,8,186,194,0,0,184
013,Charles Ausburne,Elite,Eagle Union,DD,82,Light,42,1908,82,162,275,176,0,9,203,200,0,0,202
014,Thatcher,Rare,Eagle Union,DD,65,Light,42,1840,81,157,268,176,0,8,198,194,0,0,193
015,Aulick,Normal,Eagle Union,DD,62,Light,42,1804,78,156,264,176,0,7,193,191,0,0,193
016,Foote,Normal,Eagle Union,DD,67,Light,42,1804,78,156,264,176,0,7,186,191,0,0,193
017,Spence,Normal,Eagle Union,DD,20,Light,42,1804,78,156,264,176,0,7,186,191,0,0,193
018,Benson,Rare,Eagle Union,DD,72,Light,45,1648,83,157,303,181,0,8,193,182,0,0,179
019,Laffey,Elite,Eagle Union,DD,18,Light,45,1787,95,161,286,181,0,9,208,188,0,0,200
026,Sims,Rare,Eagle Union,DD,45,Light,42,1638,76,157,271,177,0,8,193,195,0,0,173
027,Hammann,Rare,Eagle Union,DD,47,Light,42,1638,76,157,271,177,0,8,193,195,0,0,173
028,Eldridge,Super Rare,Eagle Union,DD,75,Light,25,1553,76,167,362,233,0,10,218,213,0,0,189
081,Amazon,Rare,Royal Navy,DD,72,Light,44,1237,61,140,341,234,0,8,181,166,0,0,182
082,Acasta,Rare,Royal Navy,DD,43,Light,42,1237,64,140,342,232,0,8,183,163,0,0,168
083,Ardent,Rare,Royal Navy,DD,35,Light,42,1237,64,140,342,232,0,8,183,163,0,0,168
086,Beagle,Normal,Royal Navy,DD,71,Light,42,1218,62,137,336,232,0,7,180,181,0,0,171
087,Bulldog,Normal,Royal Navy,DD,65,Light,42,1218,62,137,336,232,0,7,180,185,0,0,171
088,Comet,Normal,Royal Navy,DD,54,Light,43,1227,64,137,332,232,0,7,180,194,0,0,173
089,Crescent,Normal,Royal Navy,DD,35,Light,43,1227,64,137,332,232,0,7,180,194,0,0,173
090,Cygnet,Normal,Royal Navy,DD,72,Light,43,1227,64,137,332,232,0,7,180,198,0,0,173
091,Foxhound,Normal,Royal Navy,DD,68,Light,42,1239,67,137,332,232,0,7,181,201,0,0,176
092,Fortune,Rare,Royal Navy,DD,68,Light,42,1265,68,140,339,232,0,8,184,205,0,0,176
093,Grenville,Elite,Royal Navy,DD,32,Light,43,1370,81,150,346,232,0,9,190,202,0,0,179
094,Glowworm,Elite,Royal Navy,DD,36,Light,43,1274,75,150,351,232,0,9,190,202,0,0,182
096,Hardy,Elite,Royal Navy,DD,40,Light,43,1370,76,143,355,232,0,9,190,180,0,0,193
100,Hunter,Rare,Royal Navy,DD,24,Light,43,1237,72,143,337,232,0,8,186,176,0,0,187
101,Javelin,Elite,Royal Navy,DD,65,Light,43,1427,76,146,355,232,0,9,196,202,0,0,189
102,Juno,Rare,Royal Navy,DD,40,Light,43,1386,72,142,346,232,0,8,190,198,0,0,189
103,Vampire,Elite,Royal Navy,DD,42,Light,40,1186,67,142,357,216,0,9,186,195,0,0,163
151,Fubuki,Elite,Sakura Empire,DD,34,Light,45,1623,59,133,484,212,0,9,202,183,0,0,179
152,Shirayuki,Elite,Sakura Empire,DD,41,Light,45,1623,64,133,483,216,0,9,202,188,0,0,179
154,Miyuki,Elite,Sakura Empire,DD,10,Light,45,1623,61,133,484,216,0,9,202,180,0,0,179
155,Ayanami,Elite,Sakura Empire,DD,36,Light,45,1623,62,133,484,216,0,9,202,191,0,0,179
159,Akatsuki,Rare,Sakura Empire,DD,45,Light,45,1577,57,137,469,216,0,8,199,179,0,0,174
160,Hibiki,Elite,Sakura Empire,DD,88,Light,45,1623,59,141,499,216,0,9,204,183,0,0,174
161,Ikazuchi,Rare,Sakura Empire,DD,52,Light,45,1577,57,137,469,216,0,8,199,160,0,0,174
162,Inazuma,Rare,Sakura Empire,DD,57,Light,45,1577,57,137,469,216,0,8,199,160,0,0,174
163,Shiratsuyu,Rare,Sakura Empire,DD,41,Light,40,1546,61,137,484,211,0,8,186,155,0,0,178
164,Yuudachi,Super Rare,Sakura Empire,DD,32,Light,40,1650,66,143,518,211,0,10,214,188,0,0,187
