ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
338,I-19,Super Rare,Sakura Empire,SS,19,Light,18,2218,60,0,556,46,0,7,112,0,200,2,175
339,I-26,Elite,Sakura Empire,SS,26,Light,18,2118,61,0,526,46,0,6,110,0,218,2,168
340,I-58,Elite,Sakura Empire,SS,58,Light,14,2131,60,0,509,38,0,6,80,0,268,2,173
341,U-81,Super Rare,Iron Blood,SS,23,Light,14,1341,51,0,562,38,0,7,110,0,188,2,179
342,Dace,Elite,Eagle Union,SS,68,Light,16,1733,72,0,509,43,0,6,91,0,243,2,183
343,U-47,Super Rare,Iron Blood,SS,32,Light,14,1328,49,0,537,38,0,7,112,0,193,2,182
344,U-557,Elite,Iron Blood,SS,18,Light,14,1292,44,0,505,38,0,6,85,0,188,2,171
350,Surcouf,Elite,Iris Libre,SS,60,Light,14,2887,141,0,515,23,0,6,77,0,180,2,171
358,Albacore,Super Rare,Eagle Union,SS,79,Light,16,1971,61,0,532,43,0,7,96,0,243,2,198
381,I-13,Super Rare,Sakura Empire,SSV,20,Light,13,2722,50,0,520,38,256,7,110,0,198,2,176
386,U-556,Elite,Iron Blood,SS,45,Light,14,1292,39,0,505,38,0,6,85,0,188,2,182
387,U-73,Elite,Iron Blood,SS,35,Light,14,1281,46,0,529,38,0,6,85,0,188,2,171
396,I-25,Elite,Sakura Empire,SS,25,Light,18,1993,66,0,520,46,0,6,71,0,218,2,182
397,I-56,Elite,Sakura Empire,SS,46,Light,14,2131,60,0,508,38,0,6,63,0,248,2,170
398,I-168,Super Rare,Sakura Empire,SS,22,Light,18,2041,66,0,546,44,0,7,117,0,195,2,177
399,U-101,Super Rare,Iron Blood,SS,68,Light,14,1328,48,0,537,38,0,7,112,0,190,2,180
400,U-522,Elite,Iron Blood,SS,22,Light,14,1533,44,0,511,38,0,6,85,0,228,2,182
402,Cavalla,Super Rare,Eagle Union,SS,78,Light,16,1945,66,0,531,43,0,7,94,0,243,2,197
416,U-110,Elite,Iron Blood,SS,28,Light,14,1498,48,0,505,38,0,6,83,0,208,2,182
446,Bluegill,Elite,Eagle Union,SS,65,Light,16,1733,72,0,505,43,0,6,88,0,243,2,180
467,U-96,Super Rare,Iron Blood,SS,62,Light,14,1338,53,0,543,38,0,7,110,0,188,2,188
477,Albacore µ,Elite,Eagle Union,SS,79,Light,16,1888,60,0,514,43,0,6,93,0,243,2,198
484,U-37,Super Rare,Iron Blood,SS,72,Light,14,1590,46,0,547,38,0,7,112,0,218,2,182
492,U-410,Elite,Iron Blood,SS,50,Light,14,1292,44,0,509,38,0,6,85,0,188,2,177
503,Torricelli,Elite,Sardegna Empire,SS,16,Light,14,1555,39,0,505,38,0,6,85,0,208,2,182
513,Archerfish,Super Rare,Eagle Union,SS,90,Light,16,1971,66,0,537,43,0,7,96,0,243,2,197
519,Nautilus,Elite,Eagle Union,SS,69,Light,13,2518,115,0,505,38,0,6,93,0,263,2,198
528,U-1206,Elite,Iron Blood,SS,20,Light,18,1289,46,0,505,38,0,6,86,0,198,2,180
558,Leonardo da Vinci,Super Rare,Sardegna Empire,SS,57,Light,18,1748,48,0,545,38,0,7,101,0,232,2,197
620,Flasher,Super Rare,Eagle Union,SS,82,Light,21,1958,60,0,534,43,0,7,96,0,243,2,200
650,U-31,Elite,Iron Blood,SS,32,Light,18,1193,46,0,515,38,0,6,88,0,188,2,171
658,Herring,Elite,Eagle Union,SS,54,Light,20,1733,72,0,511,41,0,6,93,0,243,2,201
679,Maggiore Baracca,Super Rare,Sardegna Empire,SS,19,Light,18,1748,44,0,537,38,0,7,101,0,232,2,185
695,U-552,Super Rare,Iron Blood,SS,52,Light,14,1338,61,0,567,38,0,7,112,0,188,2,206
10053,Minato Aqua,Super Rare,Hololive,SS,64,Light,18,1722,66,0,545,45,0,8,109,0,268,2,182
10076,Ami Futami,Elite,The Idolmaster,SS,74,Light,23,1542,49,0,518,43,0,6,118,0,248,2,207
10077,Mami Futami,Elite,The Idolmaster,SS,74,Light,23,1542,49,0,518,43,0,6,118,0,248,2,207
10103,Homura,Super Rare,Senran Kagura,SS,87,Light,23,2054,50,0,536,43,0,8,96,0,208,2,210
30021,U-556 META,Super Rare,META,SS,45,Light,18,1731,63,0,560,32,0,8,116,0,208,2,181
